Food Item,Serving size,Oxalate Value
1% milk,1 cup,1mg
100% bran,1/3 cup,25mg
100% natural granola oats & honey,1/2 cup,13mg
2% milk,1 cup,1mg
40% bran,3/4 cup,36mg
alaskan king crab,3 oz or 1/2 leg,0mg
alfalfa sprouts,1/2 cup,0mg
all-bran buds,1/2 cup,20mg
all-bran original,1/2 cup,26mg
all-bran with extra fiber,1/2 cup,11mg
all-purpose flour,1 cup,17mg
almonds,1 oz or 22 kernels,122mg
american cheese,1 slice,0mg
antelope,3 oz,0mg
apple butter,1 Tbs,0mg
apple cinnamon cheerios,3/4 cup,5mg
apple juice,6 oz,2mg
apple pie,1 piece or 1/8th of pie,5mg
apple sauce,1 cup,2mg
apples,1 fruit,1mg
apricot juice,1 cup,2mg
apricots,1 fruit,0mg
artichokes,1 small bud,5mg
artificial sweetner,1 packet,1mg
asparagus,4 spears,6mg
avocados,1 fruit,19mg
bacon,2 slices,0mg
bagel new york,1 Bagel,40mg
baked potato with skin,1 medium,97mg
bamboo shoots,1 cup,35mg
banana,1 fruit,3mg
banana nut crunch,1 cup,25mg
barley flour,1/2 cup,41mg
barley malt flour,1 cup,0mg
basic 4,1 cup,17mg
beer (light),1 can,3mg
beer (regular),1 can,4mg
beets,1/2 cup,76mg
berry bust cheerios,1 cup,7mg
biscuits (plain or buttermilk),1 biscuit,6mg
black pepper,1 dash,0mg
blackberries,1/2 cup,2mg
blueberries,1/2 cup,2mg
blueberry morning,1/2 cup,8mg
blueberry muffins,1 muffin,9mg
bluefish,1 fillet,1mg
bok choy (chinese cabbage,"1 cup, raw",1mg
bologna,1 slice,0mg
"bran flakes with raisins, single brand",1 cup,57mg
bran muffin low fat,1 muffin,5mg
bran muffins,1 muffin,5mg
bran muffins (store),1 muffin,5mg
brewer's yeast,1 tbs,7mg
broccoli,1/2 cup chopped,6mg
brown rice flour,1 cup,65mg
"brown rice, cooked",1 cup,24mg
brown sugar,1 cup packed,1mg
brownies,1 oz or 1/2 brownie,31mg
brussel sprouts,1/2 cup frozen,17mg
buckwheat groats,1 cup cooked,133mg
buffalo,3 oz,0mg
"bulgur, cooked",1 cup,86mg
bullion cube,1 cube,1mg
burritos with beans,1 burrito,17mg
burritos with beans & meat,1 burrito,16mg
butter,1 Pat,0mg
"butter, salted",1 pat,0mg
buttermilk,1 cup,1mg
cabbage,1/2 cup,1mg
cake (homemade),1 piece,16mg
cake (low fat only),1 piece,11mg
cake (store brand),1 piece,15mg
candies with nuts (ex snickers),2 oz,38mg
canned cherries,1/2 cup,7mg
canned peaches,1/2 cup,1mg
canned pears,1/2 cup,1mg
canned pineapple,1/2 cup,24mg
cantaloupe,1/4 melon,1mg
cap'n crunch,3/4 cup,0mg
carnation instant breakfast,1 packet,1mg
carrot juice,1 cup,27mg
"carrots, cooked",1/2 cup sliced,7mg
"carrots, raw",1/2 lg carrot,15 mg
cashews,1 oz or 18 kernels,49mg
catsup/ketchup,1 packet,1mg
cauliflower,1/2 cup cooked,1mg
"celery, cooked",1 cup,10mg
"celery, raw",1/2 Cup,19mg
cheddar cheese,1 slice,0mg
cheerios,1 cup,8mg
cheeseburger with bun,1 burger & bun,13mg
cherries,1 cup,3mg
chicken,3 oz,0mg
chicken dog,1 dog,1mg
chicken liver,3 oz,0mg
chicken noodle soup,1 can,3mg
chicken nuggets,6 nuggets,3mg
chicken roll,1 package,1mg
chili powder,1 tbs,7mg
chili with beans,1 cup,24mg
chives,1 tsp,0mg
chocolate chip cookies (low fat only),1 cookie,7mg
chocolate chip cookies (store brand),1 cookie,10mg
chocolate milk,1 cup,7mg
"chocolate pudding, instant",1/4 box or 1 oz,4mg
chocolate syrup,2 Tbs,38mg
cinnamon toast crunch,3/4 cup,5mg
clam chowder,1 cup,13mg
"clams, raw",3 oz,0mg
cocoa krispies,3/4 cup,11mg
cocoa powder,4 tsp,67mg
cocoa puffs,1 cup,3mg
cod liver fish oil,1 tsp,0mg
cod liver oil,1 tsp,0mg
"cod, pacific",3 oz or 1 fillet,0mg
coffee,1 cup,1mg
coffee creamer,1 Tbs,0mg
coffee decaff,1 cup,2mg
collards,1 cup,10mg
complete oat bran flakes,3/4 cup,5mg
complete wheat bran,3/4 cup,34mg
corn,1/2 cup,1mg
corn bran,1 cup,0mg
corn bread,1 piece,4mg
corn chex,1 cup,5mg
corn flakes,1 cup,1mg
corn flour,1 cup,3mg
corn grits,1 cup,97mg
corn pops,1 cup,1mg
corn syrup (high fructose),1 tbs,1mg
corn syrup (light),1 tbs,0mg
cornbread,1 piece,4mg
cornmeal,1 cup,64mg
cornstarch,1 cup,3mg
cottage cheese,1/2 cup,0mg
cottage cheese fat free,1/2 cup,1mg
count chocula,1 cup,5mg
couscous,1 cup,15mg
cracked wheat bread,1 slice,5mg
cracklin' oat bran,3/4 cup,15mg
cranberry almond crunch (morning traditions),1 cup,35mg
cranberry sauce,1/2 cup,2mg
cream,1 tbs,0mg
cream cheese,1 oz,0mg
cream cheese fat free,1 oz,1mg
cream cheese low fat,1 oz,1mg
cream of wheat,1 cup,18mg
"cream sauce, homemade",1 cup,3mg
cream substitute,1 tsp,0mg
crispix,1 cup,1mg
cucumber,1/4 cucumber,1mg
custard,1 cup,1mg
danish pastry homemade,1 pastry,14mg
"danish pastry, fruit filled",1 pastry,4mg
dates,1 date,24mg
doughnut,1 doughnut,5mg
dried apples,1 cup or 13 rings,2mg
dried apricots,1 cup of halves,3mg
dried cranberries,1/2 cup,1mg
dried figs,5 pieces/fruits,24mg
dried pineapples,1/2 cup,30mg
dried prunes,1/4 cup or 5 prunes,11mg
egg beaters,4 oz,0mg
eggbeaters,4 oz,0mg
eggroll,1 eggroll,5mg
eggs,1 medium,0mg
eggs,1 medium egg,0mg
enchilada with cheese & beef,1 enchilada,13mg
enchilada with chicken,1 enchilada,13mg
endive,1/2 cup,0mg
english muffin,1 muffin,8mg
english muffin multi-grain,1 muffin,8mg
english muffin wheat,1 muffin,7mg
english muffin whole wheat,1 muffin,12mg
english muffins - multi-grain,1 muffin,8mg
english muffins - reg,1 muffin,8mg
english muffins - wheat,1 muffin,7mg
english muffins whole wheat only,1 muffin,12mg
farina cereal,1 cup,16mg
fat free milk,1 cup,1mg
fava beans,1/2 cup,20mg
fiber one,1/2 cup,13mg
fig bars,1 cookie,4mg
figs,1 medium fig,9mg
flaxseed,1 Tbs,0mg
flounder,3 oz,0mg
french fries,4 oz,51mg
french fries (homemade or fast food),4 oz or 1/2 cup,51mg
french toast,2 slices,13mg
froot loops,1 cup,2mg
frosted cheerios,1 cup,6mg
frosted flakes,3/4 cup,1mg
frosted mini-wheats,1 cup,28mg
frozen fish sticks,2 sticks,3mg
frozen yogurt,1/2 cup,1mg
"fruit & fiber dates, raisins & walnuts",1 cup,41mg
fruit cocktail,1/2 cup,1mg
fruit roll-ups,1 roll,2mg
fruity pebbles,3/4 cup,2mg
fudge sauce,2 Tbs,28mg
fudge sauce,2 Tbs,28mg
garlic powder,1 tsp,0mg
gatorade,1 cup,0mg
gelatin,1 tbs or 1 envelope,0mg
golden grahams,3/4 cup,9mg
graham crackers,1 large rectangle,2mg
granola bars low fat,1 oz uncoated,2mg
granola bars- hard & plain,1 bar,1mg
grape juice,8 oz,1mg
grape nuts,1/2 cup,14mg
grape nuts flakes,3/4 cup,7mg
grapefruit,1/2 fruit,12mg
grapefruit juice,8 oz,0mg
grapes,1/2 cup or 16 seedless grapes,1mg
gravy,1 cup,4mg
great grains crunch pecan,2/3 cup,18mg
"great grains raisin, dates & pecans",2/3 cup,17mg
green pepper,1/2 Cup,5mg
grilled cheese sandwich,1 sandwich,12mg
ground beef,3 oz,0mg
haddock,3 oz,0mg
halibut,3 oz,0mg
